group,date,sender,username,keywords,link,text
Испания | Для Своих | Чат,2026-03-20 17:02,😈,Gcat8,испанский,https://t.me/spain_chatss/128018,Снимем дом /бунгало на длительный срок . До 1500€ Бенидорм /пригород/пригороды Аликанте и торревьехи/главное что бы море рядом было .постоянный хороший доход/рабочий контракт но не испанский .
Испания Барселона Чат,2026-03-25 12:11,OFF MAP Manager,Off_Map_Manager,"преподаватель, Испанский, испанский",https://t.me/spain_granitsa/210644,"🧷Я - Наталья, преподаватель и лингвист (DELE C1). Испанский я учила уже взрослой, когда жила и работала в Латинской Америке, поэтому хорошо понимаю, как непросто бывает не потерять мотивацию, не бояться ошибок и просто продолжать идти вперёд. 🧷В канале https://t.me/tusya_bes тебя ждёт живая лексика "
Испания Барселона Чат,2026-03-23 15:57,TeronaX,TeronaX,репетитор,https://t.me/spain_granitsa/210598,"Добрый день, ищу себе репетитора по испанскому языку. Могу изучать онлайн/офлайн (Барселона)"
Испания Барселона Чат,2026-03-23 08:25,Руслан,,испанского,https://t.me/spain_granitsa/210575,"Уроки испанского языка с носителем, также занимаюсь переводами!"
Испания Барселона Чат,2026-03-19 07:49,Руслан,,испанского,https://t.me/spain_granitsa/210478,"Уроки испанского языка с носителем, также занимаюсь переводами!"
Українці у Іспанії Діаспора Украинцы в Испании Диаспора,2026-03-24 17:37,ИСПАНСКИЙ С НОСИТЕЛЕМ РЕПЕТИТОР/ПЕРЕВОДЧИК,kuba_espa,испанского,https://t.me/UkraineSpainMIR/184559,Уроки испанского с носителем онлайн
Українці у Іспанії Діаспора Украинцы в Испании Диаспора,2026-03-23 14:55,ИСПАНСКИЙ С НОСИТЕЛЕМ РЕПЕТИТОР/ПЕРЕВОДЧИК,kuba_espa,испанского,https://t.me/UkraineSpainMIR/184346,Уроки испанского с носителем онлайн
"Аліканте, Amigos de Ucrania asociación Alicante",2026-03-23 09:44,Aleksandr лайф,mastealikante,испанский,https://t.me/amigosalicanteucrania/142110,"Добрый день. Мне нужна доставка по Аликанте с Абрамата к Plaza del Toros примерно , нужна на 12.00 . Нужно привезти шесть листов гипсокартона 2.5×1.2 , 10 трехметровых профилей, дверь межкомнатную, ну и кое-что по мелочи. Нужно это загрузить в вашу машину привезти на адрес и поднять на первый испанс"
"Аліканте, Amigos de Ucrania asociación Alicante",2026-03-19 16:37,"Tatiana SANITAS, МЕДИЦИНА , СТРАХОВКИ https://t.me/tatianasegurosanitas",Sanitasseguros,испанский,https://t.me/amigosalicanteucrania/141755,"К сожалению нет такого.  Есть терапевты или семейный врач, который может дать направление на гормоны  Если именно нужен эндокринолог то тогда это испанский врач , многие говорят на английском"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-24 17:38,ИСПАНСКИЙ С НОСИТЕЛЕМ РЕПЕТИТОР/ПЕРЕВОДЧИК,kuba_espa,испанского,https://t.me/costablanca_es/171958,Уроки испанского с носителем онлайн
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-24 14:55,Максим Топников,maksim56890,"Испанский, испанский",https://t.me/costablanca_es/171953,"Привет! Меня зовут Максим Я студент Университета Аликанте, живу и учусь в испанской среде, свободно владею испанским языком и также преподаю английский для начального и среднего уровня.  Моя цель - не просто объяснять правила, а помочь вам начать говорить свободно и уверенно.  🇪🇸 Испанский язык 🔹 Ра"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-24 09:39,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171910,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-23 14:55,ИСПАНСКИЙ С НОСИТЕЛЕМ РЕПЕТИТОР/ПЕРЕВОДЧИК,kuba_espa,испанского,https://t.me/costablanca_es/171809,Уроки испанского с носителем онлайн
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-23 09:52,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171748,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-21 15:16,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171645,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-20 14:05,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171575,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-19 23:49,Максим Топников,maksim56890,"Испанский, испанский",https://t.me/costablanca_es/171534,"Привет! Меня зовут Максим Я студент Университета Аликанте, живу и учусь в испанской среде, свободно владею испанским языком и также преподаю английский для начального и среднего уровня.  Моя цель - не просто объяснять правила, а помочь вам начать говорить свободно и уверенно.  🇪🇸 Испанский язык 🔹 Ра"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-19 11:18,Rezidentka,rezidentka78,испанский,https://t.me/costablanca_es/171501,"Всем привет 👋🏻   Делаю: 🔹скульптурный  массаж лица -1час - 30€ 🔹миофасциальный - 1час-30€ 🔹испанский хиромассаж -1час-30€ 🔹буккальный +лимфодренажный  -40 мин - 25€ 🔹3д моделирование лица. (включает в себя миофасциальный, буккальный и лимфодренажный)  - 1час 30мин -40€ 🔹 аппаратный вибрационно-вакуу"
Коста Бланка | Costa Blanca 🇪🇸 Чат | Испания,2026-03-19 06:32,Nataliia Komolova,Nataliia_Komolova,преподаватель,https://t.me/costablanca_es/171465,"🕉️ Дорогие друзья, с большой радостью Студия YOGA CALPE приглашает Вас на годовой курс обучения ОСТЕОПАТИИ.  💫Ведущая курса: практикующий остеопат, психолог, краниосакральный терапевт,  мастер мануальной терапии, мастер массажа, преподаватель остеопатии из Киева  Зоя  Сергеевна Новикова.   🌿Время по"
